2	7512590.597	4691723.335	611.288
3	7512587.165	4691719.136	611.146
4	7512602.872	4691706.301	611.132
5	7512610.292	4691715.35	611.173
6	7512608.908	4691716.491	611.191
7	7512616.348	4691725.642	611.053
1	7512619.425	4691723.052	610.923
114	7512601.666	4691704.614	611.043
115	7512602.556	4691704.107	611.097
116	7512606.942	4691709.512	611.199
117	7512610.964	4691714.391	611.209
118	7512614.848	4691719.262	611.214
119	7512618.378	4691723.309	611.053
120	7512619.935	4691725.383	611.04
121	7512614.598	4691729.728	610.95
122	7512605.714	4691720.697	611.177
123	7512600.296	4691714.928	611.144
124	7512595.183	4691709.805	611.166
125	7512590.387	4691713.733	611.207
126	7512596.801	4691722.388	611.456
127	7512603.188	4691729.538	611.391
128	7512607.747	4691734.174	611.15
129	7512608.33	4691734.757	611.18
130	7512593.335	4691727.033	611.333
131	7512593.329	4691726.972	611.353
132	7512587.201	4691724.488	611.017
133	7512582.851	4691721.401	611.004
134	7512586.183	4691717.314	611.168
135	7512586.577	4691714.081	611.367
136	7512582.373	4691718.642	611.637
137	7512579.971	4691721.202	611.783
138	7512578.125	4691723.54	611.815
139	7512584.048	4691730.883	611.615
140	7512587.693	4691735.487	611.365
141	7512594.833	4691733.41	611.301
142	7512594.962	4691737.776	611.184
143	7512595.383	4691740.92	611.368
144	7512595.498	4691744.785	611.517
